答案,題目,選項1,選項2,選項3,選項4,詳解
D,請問2025年5月15日是鳥羽水族館開館幾週年的紀念日？,67週年,68週年,69週年,70週年,略
C,マリンワールド海の中道自西元幾年開始飼育海獺？,1981年 ,1984年 ,1989年 ,1992年 ,略
A,日本第一隻在人工飼養環境出生的海獺名字是？,プック ,キラ ,メイ ,ポテト ,略
B,日本北海道可以觀賞到野生海獺的地區？,渡島半島,根室半島,積丹半島,亀田半島,略
B,海獺的「口袋」位於身體哪個部位？,腹部,腋下,臀部,後腿,略
D,請問下列何者為鼬科（貂科，學名：Mustelidae）動物？,蜜獾,水獺,海獺,以上皆是,略
B,2025年加入Monterey Bay Aquarium的海獺名字是？,Hazel,Opal,Quinn,Quatse,略
D,請問下列何者是由人工哺育的海獺？,Mana ,Joey,Tofino,以上皆是,略
A,《五感之外的世界》一書中，曾住在聖克魯茲（Santa Cruz）隆恩海洋實驗室（Long Marine Laboratory）參於研究的海獺名字是？,Selka,Ivy,Rosa,Kit,https://doi.org/10.1242/jeb.181347
D,海獺的學名是？,Mustela formosana,Lutra lutra,Pteronura brasiliensis,Enhydra lutris,略
B,請問海獺有幾種亞種？,兩種,三種,四種,五種,略
B,請問棲息在阿拉斯加地區的海獺是何種亞種？,Enhydra lutris nereis,Enhydra lutris kenyoni,Enhydra lutris lutris ,Enhydra lutris lutra,略
D,請問海獺每天大約會吃掉體重幾％重量的食物？,2-3％,7-9％,10-18％,20-25％,略
C,請問海獺的咬合力道與何種陸生動物類似？,雪貂,灰狼,石虎,黑熊,略
D,以下何者為海獺的食物？,海膽,螃蟹,鮑魚,以上皆是,略
D,請問海獺在潛水中可以停留多少時間？,1-2分鐘,3-4分鐘,5分鐘,6-7分鐘,略
C,請問國際自然和自然資源保護聯盟（IUCN）將海獺列為何種級別的動物？,"野外絕滅（EW, Extinct in the Wild）","極危（CR, Critically Endangered）","瀕危（EN, Endangered）","易危（VU, Vulnerable）",略
B,南方海獺因為皮草貿易一度被認為已經滅絕。直到某一年，美國加利福尼亞州中大瑟爾海岸（Big Sur）奇蹟般地發現了約50隻南方海獺。請問「某一年」是在西元哪一年？,1928年,1938年,1948年,1958年,略
C,請問World Otter Day是每年的哪一天？,五月的第一個星期五,五月的第二個星期日,五月的最後一個星期三,五月的最後一個星期六,略
C,請問下列何者為體型最小的海洋哺乳類動物？,海豹,海獅,海獺,海狗,略
D,請問下列何者為體型最大的鼬科動物？,非洲艾虎,巨獺,豬獾,海獺,略
B,請問以下中東地區的水族館，哪一間有海獺？,Disneyland Abu Dhabi,SeaWorld Abu Dhabi,National Aquarium Abu Dhabi,Dubai Aquarium & Underwater Zoo,略
B,請問海獺Moea住在以下哪一間水族館？,Aquarium of the Pacific,Point Defiance Zoo & Aquarium,Monterey Bay Aquarium,Vancouver Aquarium,略
D,請問以下歐洲的水族館，哪一間有海獺？,National Sea Life Centre Birmingham Aquarium,Den Blå Planet,Océanopolis Brest,以上皆是,略
B,請問日本福岡縣的マリンワールド海の中道所飼育的最後一隻海獺的名字是？,リロ,マナ,マリン,ナダ,略
A,史上第一隻擔任代理母親（surrogate mother）的海獺，除了是南方海獺復育計畫的先驅，她的故事也影響了當地政府對於海洋野生動物保護相關法案的修訂。請問這隻海獺的名字是？,Toola,Joy,Rosa,Mae,略
C,請問史上第一隻學會使用吸入器（Inhaler）的海獺的名字是？,Mocha,Millie,Mishka,Mara,略
A,為了提供更多空間給予野生海獺的救援工作，以及後續收容被判定為不可野放的海獺，美國所有獲得AZA認證的動物園和水族館皆已停止人工繁殖海獺。請問在美國動物園和水族館中出生的最後一隻海獺的名字是？,Sekiu,Suri,Spruce,Selka,略
B,請問Monterey Bay Aquarium的海獺Rosa作為代理母親（surrogate mother），總共照顧過幾隻海獺幼崽？,13隻,15隻,10隻,16隻,略
D,海獺的靜態新陳代謝率是體型相近的陸生哺乳動物的幾倍？,1.3-1.7倍,2.1-2.5倍,1.9-3.0倍,2.8-3.2倍,略
D,弓形蟲（Toxoplasma gondii）主要宿主是貓，但近年來發現以下何種海洋動物也會被弓形蟲感染並且可能致死？,海獺,海豹,海牛,以上皆是,略
D,截至2025年5月的研究，H5N1禽流感除了在野鳥與家禽之間傳播感染，也擴大感染至陸生哺乳動物和海洋哺乳動物並造成大規模死亡。請問下列海洋哺乳動物，何者可能會因為感染H5N1禽流感致死？,海豹,海豚,海獺,以上皆是,略
D,請問海獺的全部的手腳加起來一共有幾根指頭？,8根指頭,12根指頭,18根指頭,20根指頭,https://www.youtube.com/watch?v=8D5PdacepVc
A,請問日本唯一曾經飼育亞洲海獺（Enhydra lutris lutris）的水族館是哪一間？,サンシャイン水族館,海遊館,のとじま水族館,アドベンチャーワールド,略
D,請問下列哪一間水族館的海獺展覽棲地曾經因為被海獺破壞導致必須大規模整修？,Vancouver Aquarium,Monterey Bay Aquarium,鳥羽水族館,以上皆是,略
C,請問鳥羽水族館的海獺メイ是從下列哪一隻海獺習得水中跳躍取得玻璃窗上魷魚的獨特技能？,キラ,ポテト,タマ,ロイズ,略
D,請問海獺身上總計大約有幾根毛髮？,500萬~600萬,2000萬~3000萬,1億~3億,8億~10億,略
C,請問成年海獺一共有幾棵牙齒？,10棵牙齒,24棵牙齒,32棵牙齒,36棵牙齒,略
B,1989年阿拉斯加港灣漏油事件對生態造成嚴重破壞，當地野生海獺族群數量因此銳減。請問美國依《華盛頓公約》（CITES）自西元幾年開始禁止海獺國際出口貿易？,1992年,1998年,2000年,2002年,略
C,日本北海道ＮＰＯ法人エトピリカ基金的代表、攝影師片岡義廣曾經以一隻野生海獺的故事為主題出版攝影書籍，請問該書中的主角是哪一隻野生海獺？,Ｇ子,Ｆ子,Ａ子,Ｈ子,略
B,請問下列海獺何者體型最龐大（ chonk ）？,Detroit Zoo的海獺Monte,Vancouver Aquarium的海獺Joey,Shedd Aquarium的海獺Cooper,Oregon Coast Aquarium的海獺Earle,略
B,下列敘述何者為非？,海獺是世界上毛髮最濃密的海洋動物，整個身體的毛髮數量約是人類的160倍。,海獺會挑選一顆最喜歡的石頭收藏在腋下的「口袋」裡。,雖然海獺幼崽可以浮在水面上，但是沒有游泳的本能。,海獺幼崽通常需要依賴母親照顧約六個月到一年的時間，在學會各種重要的生存技能後才能獨立生活。,略
B,下列何者不是野生海獺常見的行為？,將手放在臉上或搓臉以提高雙手的溫度。,用海帶包裹身體防止被海浪沖走。,在海上漂浮時和同伴牽手防止漂散。,用石頭敲開蚌殼和甲殼類。,略
C,請問下列何者為海獺叫聲的狀聲詞？,meow,meep,woof,maaa,略
C,請問下列哪一個英文詞彙專指海獺的群體？,herd,pod,raft,school,略
B,請問海獺的身長大約是多少公分（包含尾巴）？,100-110公分,120-150公分,150-160公分,170-200公分,略
C,請問成年海獺的體重大約是多少公斤？,11-21公斤,22-45公斤,50-110公斤,45-140公斤,略
D,請問在野外看到野生海獺，應該採取什麼行動？ ,避免靠近、餵食或驚嚇,保持至少18公尺以上距離,遵守當地野生動物觀察規範,以上皆是,略
B,請問下列何種海獺除了捕食無脊椎動物，也有較高比例會捕食比目魚和鯡魚等魚類？,亞洲海獺 Enhydra lutris lutris ,北方海獺 Enhydra lutris kenyoni,南方海獺 Enhydra lutris nereis,以上皆非,略
D,海獺被稱為關鍵物種（keystone species），請問海獺對於海洋生態的重要性有哪些？,控制海膽數量，防止海膽過度啃食海帶林,維持海帶林生態系統平衡,海帶林有助於碳封存，對氣候變遷有正面影響,以上皆是,略
A,請問在海獺觸覺實驗研究中，海獺的觸覺反應時間是人類的幾倍？,2-3倍,4-5倍,6-7倍,8-9倍,略
D,請問下列何者為野生南方海獺復育族群數量成長緩慢的原因？,遊客及船隻干擾,弓形蟲等疾病傳播,棲息地的鯊魚等天敵增加,以上皆是,略
D,除了弓形蟲（Toxoplasma gondii）以外，近年還有哪些疾病導致海洋哺乳類大規模死亡？,H5N1,Morbillivirus,Phocine distemper virus,以上皆是,略
D,請問哪一位直播主曾經為海獺舉辦公益募款直播？,DougDoug,KPassionate,Tazz Talks,以上皆是,略
A,請問根據統計，南方海獺的慣用手大多是哪一隻？,右手 ,右腳,左手,左腳,略
B,請問下列何者是水族館和動物園的海獺最主要的避孕方式？,結紮手術,皮下植入劑,荷爾蒙注射,以上皆是,略
D,請問下列何者是野生海獺幼崽與母親分離走失的常見原因？,惡劣天氣及巨浪,天敵的干擾,母獺覓食時暫時離開,以上皆是,略
C,請問海獺潛入海中時，主要靠五感中哪一感捕捉獵物？,視覺,嗅覺,觸覺,聽覺,略
A,請問美國東部哪一間水族館有飼育海獺？,Georgia Aquarium,New England Aquarium,Mystic Aquarium,Adventure Aquarium,略
D,請問哪一部紀錄片的主題是關於海獺？,841,Saving Otter 501,ラッコ物語,以上皆是,略
A,請問海獺每胎通常生幾隻幼崽？,一隻,二隻,三隻,四隻,略
B,請問海獺為何經常整理毛髮？,維持外觀以吸引異性,持毛皮乾燥以維持體溫,威嚇其他動物,是放鬆的行為表現,略
B,請問1911年哪個的國際條約保護了海獺免於滅絕？,IUCN Red List,North Pacific Fur Seal Convention,Paris Agreement,Convention on International Trade in Endangered Species of Wild Fauna and Flora,略
A,請問下列何者為阿留申人對海獺的稱呼？,Agnax̂,Nacuun,Arlluk,Gəgwas,略
C,請問哪一種鯨魚是鬚鯨而非齒鯨？,抹香鯨,鼠海豚,座頭鯨,偽虎鯨,略
A,請問北極熊被歸類為海洋哺乳類，最主要原因是？,北極熊大部分生活行為與覓食在海上進行,北極熊和海豹一樣長有厚脂肪,北極熊會吃海洋生物,北極熊會在海中游泳,略
D,請問海牛的棲息地通常是在什麼地區？,極地冰層,開放大洋,深海熱泉,海草豐富的沿岸淺水區,略
D,請問海獺毛髮密度最高可達每平方公分多少根？,"約5,000根","約20,000根","約100,000根","約150,000根",略
A,請問海獺缺乏哪一種典型海洋哺乳動物用以保暖的構造？,脂肪層,潛水反射系統,喉囊,橫隔膜肌,略
B,請問下列何者是母海獺在育幼期最常見的行為？,將幼崽藏於海草中,漂浮於海面時將幼崽固定於腹部,將幼崽交由族群照顧,與其他母海獺交換幼崽,略
A,請問若海獺數量下降，可能導致其棲地出現哪一種變化？,巨藻森林變成海膽荒漠,魚類數量變多,巨藻森林擴大,海水溫度降低,略
A,請問哪一種原蟲與加州南方海獺大量死亡關聯最密切？,Toxoplasma gondii,Giardia lamblia,Cryptosporidium parvum,Neospora caninum,略
C,請問哪一種人類活動最易促進（Toxoplasma gondii）進入沿海系統？,魚業捕撈,過度觀光,排放未經處理的污水,船舶大量通行,略
B,請問哪一種基因技術已應用於追蹤野生海獺群體來源？,RAD-seq,mtDNA分析,全基因組測序,ISSR標記,略
D,請問美國哪一聯邦機構負責執行海獺保護與研究？,FDA,USGS,NOAA,USFWS,略
B,請問哪一行為可能違反美國《海洋哺乳動物保護法（MMPA）》？,向救傷單位通報有海獺幼崽擱淺,與野生海獺互動並給予食物,使用望遠鏡從遠處觀察海獺,在海獺棲地在100公尺外划艇,略
C,請問下列哪一國並非海獺原生分布區？,美國,加拿大,韓國,俄羅斯,略
A,請問截至2025年5月的研究，哪一個區域的野生海獺族群密度最高？,阿拉斯加王子威廉灣,南加州海岸,北卡羅來納外灘,哥倫比亞海峽,略
A,請問下列哪一種海洋哺乳動物會捕食海獺？,虎鯨,海豚,獨角鯨,小鬚鯨,略
B,請問下列何種海洋污染物被發現累積於海獺體內，與影響免疫抑制有關？,硫酸鹽,多氯聯苯,銅,鉛,略
C,請問海獺被稱為關鍵物種（keystone species）的原因是？,擁有強勢競爭能力,改變棲地物理結構,調節其他生物密度,是初級生產者,略
B,請問根據觸覺辨識研究，海獺能在幾秒內判別目標物？,0.2秒,0.8秒,1.5秒,2.0秒,略
B,請問下列何者為海獺擁有生態影響力的典型案例地點？,Monterey Bay,Aleutian Islands,Chesapeake Bay,Sargasso Sea,略
C,請問海洋熱浪可能對海獺造成什麼間接風險？,海洋鹽度升高,海膽族群減少,巨藻減少導致食物網崩解,捕食者數量下降,略
C,請問降雨頻率增加對於加州沿海的南方海獺健康造成下列何種明顯影響？,增加食物來源,減少天敵,加速病原從內陸流入,提升繁殖率,略
C,請問哪一種人類活動常導致海獺遭漁具纏繞？,深海撈捕,水產養殖,近岸蟹籠漁業,潛水觀光,略
B,請問哪一隻海獺因為搶奪衝浪板而躍上新聞版面？,501,841,937,927,略
A,請問海獺841的母親Millie是由下列哪一隻海獺代理母親（surrogate mother）撫育？,Ivy,Gidget,Abby,Selka,略
B,請問海獺Selka是由下列哪一隻海獺代理母親（surrogate mother）撫育？,Toola,Rosa,Gidget,Joy,略
C,請問海獺交配行為中，雄性海獺會做出下列何種行為？,跳求偶舞吸引母海獺,用食物吸引母海獺,咬住母海獺鼻部皮膚,與母海獺共同撫育業崽,略
B,請問下列何者是野生海獺幼崽最常見死亡原因？,鯊魚掠食,與母親分離,感染性疾病,油污中毒,略
C,請問海獺幼崽無法潛水的主要原因？,肺未發育完全,無法控制體溫,毛髮極度浮力,四肢尚未骨化,略
A,請問根據分子遺傳研究，海獺與下列哪一動物關係最近？,水獺,海豹,鼬鼠,河狸,略
C,請問海獺的染色體數量？,28,36,38,42,略
B,請問海獺最早出現在化石紀錄中可追溯至？,漸新世,中新世,上新世,更新世,略
D,請問下列哪一個基因與海獺毛髮密度調控有關？,MC1R,FGFR2,EDAR,FGF5,略
B,請問鳥羽水族館的海獺メイ的誕生日？,五月三日,五月九日,五月十一日,五月二十七日,略
B,請問鳥羽水族館的海獺キラ的誕生日？,三月二十一日,四月二十一日,五月二十一日,六月二十一日,略
C,請問鳥羽水族館的海獺メイ的母親名字是？,ニンジン,ワサビ,ポテト,カブ,略
